Model,Median Accuracy,Median AUC,AUC Ratio vs LR
Logistic Regression,0.8414634146341463,0.9184523809523809,1.0
Random Forest,0.9878048780487805,1.0,1.0887880751782242
SVM (RBF),0.9085365853658537,0.9794642857142857,1.0664290343486715
Tuned XGBoost,1.0,1.0,1.0887880751782242
